Metro Area,Average Labor Force,Average Employed,Average Unemployed ,Average Unemployment Rate
Albany-Schenectady-Troy,452831,426663,26170,5.7757
Binghamton,131444,121938,9506,7.0419
Buffalo-Niagara Falls,561132,522375,38761,6.8829
Glens Falls,62727,58420,4314,6.8353
Ithaca,65725,62219,3517,5.1008
Nassau-Suffolk,1476041,1390451,85585,5.8060
Rochester,534337,499855,34483,6.4333
Syracuse,318774,297079,21696,6.7632
Utica-Rome,135692,126572,9111,6.6778
Jamestown-Dunkirk-Fredonia,60196,49864,4040,7.2166
Buffalo-Cheektowaga,598106,545602,36465,6.876
Batavia,300068,28491,1916,6.266
Corning-Bath,44842,41387,6447,6.722
